City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
228,Port Lincoln,AU,2022-03-27 20:53:05,-34.7333,135.8667,63.18,84,33,8.39,scattered clouds
229,Zdvinsk,RU,2022-03-27 20:53:36,54.7021,78.661,9.57,96,68,5.64,broken clouds
230,Akureyri,IS,2022-03-27 20:53:37,65.6835,-18.0878,26.53,54,0,2.3,clear sky
231,Adrar,MR,2022-03-27 20:53:37,20.5022,-10.0711,80.83,11,8,4.5,clear sky
232,Kayiry,UA,2022-03-27 20:53:37,46.9454,33.7059,35.85,47,41,12.06,scattered clouds
233,Borzya,RU,2022-03-27 20:53:38,50.3833,116.5167,23.47,50,22,2.77,few clouds
234,Tecoanapa,MX,2022-03-27 20:53:39,16.5167,-98.75,85.33,43,70,11.14,broken clouds
235,Laguna,US,2022-03-27 20:53:39,38.421,-121.4238,75.97,50,0,9.22,clear sky
236,Touba,CI,2022-03-27 20:53:39,8.2833,-7.6833,83.1,52,93,2.46,overcast clouds
237,Soe,ID,2022-03-27 20:53:40,-9.8607,124.284,64.6,91,32,2.86,scattered clouds
238,Samarai,PG,2022-03-27 20:53:40,-10.6167,150.6667,81.52,78,100,3.58,overcast clouds
239,Nicoya,CR,2022-03-27 20:52:59,10.1483,-85.452,93.87,34,85,10.89,overcast clouds
240,Biltine,TD,2022-03-27 20:53:41,14.5333,20.9167,75.13,7,2,18.19,clear sky
241,Dresden,DE,2022-03-27 20:51:36,51.0509,13.7383,51.26,70,0,3.44,clear sky
242,Labuhan,ID,2022-03-27 20:53:41,-6.8844,112.2051,78.48,83,94,4.83,overcast clouds
243,Airai,TL,2022-03-27 20:50:53,-8.9266,125.4092,59.0,89,91,1.3,overcast clouds
244,Codrington,AU,2022-03-27 20:53:42,-38.2667,141.9667,62.2,84,96,5.68,overcast clouds
245,Pacific Grove,US,2022-03-27 20:52:09,36.6177,-121.9166,63.07,72,40,34.0,scattered clouds
246,Domat,CH,2022-03-27 20:53:43,46.8348,9.4508,47.1,78,25,6.55,scattered clouds
247,Llata,PE,2022-03-27 20:53:43,-9.4167,-76.7833,58.96,81,97,6.15,overcast clouds
248,Sur,OM,2022-03-27 20:53:43,22.5667,59.5289,78.76,56,0,2.64,clear sky
249,Nome,US,2022-03-27 20:53:44,64.5011,-165.4064,26.17,65,99,6.17,overcast clouds
250,Destin,US,2022-03-27 20:53:44,30.3935,-86.4958,79.65,58,0,13.8,clear sky
251,Gambiran,ID,2022-03-27 20:53:45,-6.7988,111.4951,74.41,92,89,3.96,overcast clouds
252,Souillac,MU,2022-03-27 20:53:45,-20.5167,57.5167,79.18,83,40,1.14,scattered clouds
253,Shenzhen,CN,2022-03-27 20:53:45,22.5455,114.0683,65.14,99,100,6.73,moderate rain
254,Ballina,AU,2022-03-27 20:53:46,-28.8667,153.5667,68.18,100,100,4.61,moderate rain
255,Bonwapitse,BW,2022-03-27 20:53:46,-23.0766,26.7037,69.04,74,62,7.14,broken clouds
256,Severo-Kurilsk,RU,2022-03-27 20:48:55,50.6789,156.125,32.85,89,74,20.36,broken clouds
257,Arrifes,PT,2022-03-27 20:53:47,37.7667,-25.7,59.25,82,20,13.8,few clouds
258,Nelson Bay,AU,2022-03-27 20:53:47,-32.7167,152.15,69.01,97,100,4.74,overcast clouds
259,Derzhavinsk,KZ,2022-03-27 20:53:48,51.1,66.3167,18.43,96,90,9.84,overcast clouds
260,Tongzi,CN,2022-03-27 20:53:48,28.7829,105.0877,53.4,85,0,2.17,clear sky
