City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
277,Grindavik,IS,36.07,overcast clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
278,Marsabit,KE,74.53,light rain,2.3284,37.9899,Chicho Hotel
279,Maniitsoq,GL,19.69,few clouds,65.4167,-52.9,Hotel Heilmann Lyberth
280,Smidovich,RU,31.41,snow,48.6,133.8167,Gostinnitsa
281,Bambous Virieux,MU,84.45,broken clouds,-20.3428,57.7575,Casa Tia Villa
283,Tukrah,LY,63.0,clear sky,32.5341,20.5791,Lagrota restaurant
284,Tagusao,PH,84.36,overcast clouds,9.1924,117.8141,Green Villa beach resort
285,Makakilo City,US,72.19,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
286,Kozhva,RU,20.57,light snow,65.1073,57.0459,Gostinicha IP Kayuda Olga Aleksandrovna
288,Vaitape,PF,82.2,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
289,Viedma,AR,64.18,clear sky,-40.8135,-62.9967,Hotel Cristal
290,Anzio,IT,63.99,overcast clouds,41.4853,12.6179,Hotel Lido Garda
291,Alexandria,EG,61.32,clear sky,31.2156,29.9553,Royal Crown Hotel
292,Khabary,RU,24.57,overcast clouds,53.6259,79.5345,Ip Kozbanov A.g.
293,Satchinez,RO,52.11,broken clouds,45.9375,21.0406,Călacea Băi
295,Hay River,CA,10.38,light snow,60.8156,-115.7999,Ptarmigan Inn
296,Jumla,NP,72.54,clear sky,29.2747,82.1838,Royal Garden Hotel
297,Acapulco,MX,71.42,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
300,Alta Floresta,BR,69.93,heavy intensity rain,-9.8756,-56.0861,Floresta Amazonica Hotel
301,Abhar,IR,44.78,clear sky,36.1468,49.218,Hotel Got7
302,Carolina,PR,71.49,overcast clouds,18.3808,-65.9574,Motel Fantasy Star
303,Dubbo,AU,69.93,broken clouds,-32.25,148.6167,Quality Inn Dubbo International
305,Nuuk,GL,27.21,few clouds,64.1835,-51.7216,Vandrehuset
306,Kangasala,FI,26.33,overcast clouds,61.4638,24.076,Hepesa Oy
307,Mandalgovi,MN,44.22,clear sky,45.7625,106.2708,В.Ганбат
308,Nakamura,JP,65.37,clear sky,32.9833,132.9333,Hotel Crown Hills Nakamura
309,Waipawa,NZ,54.21,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
310,Pacific Grove,US,53.28,clear sky,36.6177,-121.9166,Lovers Point Inn
312,Karaman,TR,32.81,clear sky,37.0833,33.25,Gokce Koyu Muhtarligi
313,Saint-Joseph,RE,82.78,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
314,Ardakan,IR,60.82,clear sky,32.31,54.0175,Ardakan Hotel
315,Vao,NC,76.41,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
316,Juneau,US,36.21,few clouds,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
317,New London,US,41.81,overcast clouds,41.4834,-72.0662,Hyatt Place Mohegan Sun
318,Pyaozerskiy,RU,20.26,clear sky,65.8333,31.1667,Taratuga
319,Casablanca,MA,55.74,mist,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
320,Margate,GB,47.3,few clouds,51.3813,1.3862,Premier Inn Margate hotel
321,Shache,CN,61.63,clear sky,38.4167,77.2406,Delong Hotel
322,Yantarnyy,RU,40.75,overcast clouds,54.8717,19.9381,Sshloss Hotel Yantarny
323,Svetlogorsk,BY,30.88,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
325,Cururupu,BR,74.05,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
326,Bridlington,GB,48.0,scattered clouds,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
328,Belyy Yar,RU,30.85,clear sky,53.6039,91.3903,Pasportnyy Stol
329,Oktyabrskoye,RU,51.94,clear sky,43.0645,44.7417,Prolesok Mini-hotel
330,Savannah Bight,HN,77.4,broken clouds,16.45,-85.85,Villa on Dunbar Rock
332,Nizwa,OM,93.52,clear sky,22.9333,57.5333,Orient Apartments
333,Mahanoro,MG,84.61,few clouds,-19.9,48.8,BUNGALOW MAHAMANINA
334,Guerrero Negro,MX,58.57,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
335,Paamiut,GL,18.75,clear sky,61.994,-49.6678,Pistut
337,Segou,ML,85.55,overcast clouds,13.4317,-6.2157,Comme chez soi
339,Katsuura,JP,57.7,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
340,Bozhou,CN,60.15,overcast clouds,33.8772,115.7703,Haitian Hotel
341,Roberval,CA,29.03,light snow,48.5168,-72.2324,Hôtel Château Roberval
342,Morondava,MG,83.68,clear sky,-20.2833,44.2833,La Case Bambou
343,Mount Gambier,AU,76.78,overcast clouds,-37.8333,140.7667,The Commodore
344,Necochea,AR,53.96,clear sky,-38.5473,-58.7368,dyd -mar Hotel
345,Tinaquillo,VE,73.89,overcast clouds,9.9186,-68.3047,Hotel Los Copihues
346,Sitka,US,39.09,few clouds,57.0531,-135.33,Westmark Sitka
347,Half Moon Bay,US,55.33,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
348,Villa Rica,US,49.68,clear sky,33.7321,-84.9191,Days Inn by Wyndham Villa Rica
349,Labelle,US,62.62,clear sky,26.7617,-81.4384,Port LaBelle Inn
350,Krasnoselkup,RU,11.84,broken clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
351,Innisfail,AU,80.91,clear sky,-17.5333,146.0333,Moondarra Motel
352,Ketchikan,US,39.67,broken clouds,55.3422,-131.6461,Snow's Cove Lodge
353,Santa Rosa,PH,93.18,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
354,Grand Gaube,MU,84.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
355,Luxor,EG,66.69,clear sky,25.6989,32.6421,Iberotel Luxor
356,Ranong,TH,91.33,scattered clouds,9.9658,98.6348,Tinidee Hotel@Ranong
357,Diego De Almagro,CL,63.48,clear sky,-26.3667,-70.05,hotel luna del desierto
358,Bahia Honda,CU,67.98,clear sky,22.9036,-83.1592,Casa Gualberto - Deysi
359,Matay,EG,62.24,clear sky,28.419,30.7792,Nag Aespen
360,Lompoc,US,52.79,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
361,Amga,RU,27.55,overcast clouds,60.8953,131.9608,Algys
362,Olinda,BR,76.73,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
363,Amahai,ID,83.86,moderate rain,-3.3333,128.9167,HOTEL ISABELA
364,Uren,RU,31.8,overcast clouds,57.4552,45.7852,Kseal'
366,Esperance,AU,64.24,light rain,-33.8667,121.9,Hospitality Esperance
367,Svetlyy,RU,40.96,broken clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
